 col,row,time,value
         8,         7,  0.2330000E+04,  0.5069000E+00
         8,         7,  0.2340000E+04,  0.5058000E+00
         8,         7,  0.2350000E+04,  0.5047000E+00
         8,         7,  0.2360000E+04,  0.5036000E+00
         8,         7,  0.2370000E+04,  0.5025000E+00
         8,         7,  0.2380000E+04,  0.5019000E+00
         8,         7,  0.2390000E+04,  0.5018000E+00
         8,         7,  0.2400000E+04,  0.5016000E+00
         8,         7,  0.2410000E+04,  0.5015000E+00
         8,         7,  0.2420000E+04,  0.5014000E+00
         8,         7,  0.2430000E+04,  0.5013000E+00
         8,         7,  0.2440000E+04,  0.5013000E+00
         8,         7,  0.2450000E+04,  0.5012000E+00
         8,         7,  0.2460000E+04,  0.5012000E+00
         8,         7,  0.2470000E+04,  0.5012000E+00
         8,         7,  0.2480000E+04,  0.5011000E+00
         8,         7,  0.2490000E+04,  0.5011000E+00
         8,         7,  0.2500000E+04,  0.5011000E+00
         8,         7,  0.2510000E+04,  0.5011000E+00
         8,         7,  0.2520000E+04,  0.5011000E+00
         8,         7,  0.2530000E+04,  0.5010000E+00
         8,         7,  0.2540000E+04,  0.5010000E+00
         8,         7,  0.2550000E+04,  0.5010000E+00
         8,         7,  0.2560000E+04,  0.5010000E+00
         8,         7,  0.2570000E+04,  0.5010000E+00
         8,         7,  0.2580000E+04,  0.5010000E+00
         8,         7,  0.2590000E+04,  0.5010000E+00
         8,         7,  0.2600000E+04,  0.5010000E+00
         8,         7,  0.2610000E+04,  0.5010000E+00
         8,         7,  0.2620000E+04,  0.5010000E+00
         8,         7,  0.2630000E+04,  0.5010000E+00
         8,         7,  0.2640000E+04,  0.5010000E+00
         8,         7,  0.2650000E+04,  0.5010000E+00
         8,         7,  0.2660000E+04,  0.5010000E+00
         8,         7,  0.2670000E+04,  0.5010000E+00
         8,         7,  0.2680000E+04,  0.5010000E+00
         8,         7,  0.2690000E+04,  0.5010000E+00
         8,         7,  0.2700000E+04,  0.5010000E+00
         8,         7,  0.2710000E+04,  0.5010000E+00
         8,         7,  0.2720000E+04,  0.5010000E+00
         8,         7,  0.2730000E+04,  0.5010000E+00
         8,         7,  0.2740000E+04,  0.5010000E+00
         8,         7,  0.2750000E+04,  0.5010000E+00
         8,         7,  0.2760000E+04,  0.5010000E+00
         8,         7,  0.2770000E+04,  0.5010000E+00
         8,         7,  0.2780000E+04,  0.5010000E+00
         8,         7,  0.2790000E+04,  0.5010000E+00
         8,         7,  0.2800000E+04,  0.5010000E+00
         8,         7,  0.2810000E+04,  0.5010000E+00
         8,         7,  0.2820000E+04,  0.5010000E+00
         8,         7,  0.2830000E+04,  0.5010000E+00
         8,         7,  0.2840000E+04,  0.5010000E+00
         8,         7,  0.2850000E+04,  0.5010000E+00
         8,         7,  0.2860000E+04,  0.5010000E+00
         8,         7,  0.2870000E+04,  0.5010000E+00
         8,         7,  0.2880000E+04,  0.5010000E+00
         8,         7,  0.2890000E+04,  0.5010000E+00
         8,         7,  0.2900000E+04,  0.5010000E+00
         8,         7,  0.2910000E+04,  0.5010000E+00
         8,         7,  0.2920000E+04,  0.5010000E+00
         8,         7,  0.2930000E+04,  0.5010000E+00
         8,         7,  0.2940000E+04,  0.5010000E+00
         8,         7,  0.2950000E+04,  0.5010000E+00
         8,         7,  0.2960000E+04,  0.5010000E+00
         8,         7,  0.2970000E+04,  0.5010000E+00
         8,         7,  0.2980000E+04,  0.5010000E+00
         8,         7,  0.2990000E+04,  0.5010000E+00
         8,         7,  0.3000000E+04,  0.5010000E+00
         8,         7,  0.3010000E+04,  0.5010000E+00
         8,         7,  0.3020000E+04,  0.5010000E+00
         8,         7,  0.3030000E+04,  0.5010000E+00
         8,         7,  0.3040000E+04,  0.5010000E+00
         8,         7,  0.3050000E+04,  0.5010000E+00
         8,         7,  0.3060000E+04,  0.5010000E+00
         8,         7,  0.3070000E+04,  0.5010000E+00
         8,         7,  0.3080000E+04,  0.5010000E+00
         8,         7,  0.3090000E+04,  0.5010000E+00
         8,         7,  0.3100000E+04,  0.5010000E+00
         8,         7,  0.3110000E+04,  0.5010000E+00
         8,         7,  0.3120000E+04,  0.5010000E+00
         8,         7,  0.3130000E+04,  0.5010000E+00
         8,         7,  0.3140000E+04,  0.5010000E+00
         8,         7,  0.3150000E+04,  0.5010000E+00
         8,         7,  0.3160000E+04,  0.5010000E+00
         8,         7,  0.3170000E+04,  0.5010000E+00
         8,         7,  0.3180000E+04,  0.5010000E+00
         8,         7,  0.3190000E+04,  0.5010000E+00
         8,         7,  0.3200000E+04,  0.5010000E+00
         8,         7,  0.3210000E+04,  0.5010000E+00
         8,         7,  0.3220000E+04,  0.5010000E+00
         8,         7,  0.3230000E+04,  0.5010000E+00
         8,         7,  0.3240000E+04,  0.5010000E+00
         8,         7,  0.3250000E+04,  0.5010000E+00
         8,         7,  0.3260000E+04,  0.5010000E+00
         8,         7,  0.3270000E+04,  0.5010000E+00
         8,         7,  0.3280000E+04,  0.5010000E+00
         8,         7,  0.3290000E+04,  0.5010000E+00
         8,         7,  0.3300000E+04,  0.5010000E+00
         8,         7,  0.3310000E+04,  0.5010000E+00
         8,         7,  0.3320000E+04,  0.5010000E+00
         8,         7,  0.3330000E+04,  0.5010000E+00
         8,         7,  0.3340000E+04,  0.5010000E+00
         8,         7,  0.3350000E+04,  0.5010000E+00
         8,         7,  0.3360000E+04,  0.5010000E+00
         8,         7,  0.3370000E+04,  0.5010000E+00
         8,         7,  0.3380000E+04,  0.5010000E+00
         8,         7,  0.3390000E+04,  0.5010000E+00
         8,         7,  0.3400000E+04,  0.5010000E+00
         8,         7,  0.3410000E+04,  0.5010000E+00
         8,         7,  0.3420000E+04,  0.5010000E+00
         8,         7,  0.3430000E+04,  0.5010000E+00
         8,         7,  0.3440000E+04,  0.5010000E+00
         8,         7,  0.3450000E+04,  0.5010000E+00
         8,         7,  0.3460000E+04,  0.5010000E+00
         8,         7,  0.3470000E+04,  0.5010000E+00
         8,         7,  0.3480000E+04,  0.5010000E+00
         8,         7,  0.3490000E+04,  0.5010000E+00
         8,         7,  0.3500000E+04,  0.5010000E+00
         8,         7,  0.3510000E+04,  0.5010000E+00
         8,         7,  0.3520000E+04,  0.5010000E+00
         8,         7,  0.3530000E+04,  0.5010000E+00
         8,         7,  0.3540000E+04,  0.5010000E+00
         8,         7,  0.3550000E+04,  0.5010000E+00
         8,         7,  0.3560000E+04,  0.5010000E+00
         8,         7,  0.3570000E+04,  0.5010000E+00
         8,         7,  0.3580000E+04,  0.5010000E+00
         8,         7,  0.3590000E+04,  0.5010000E+00
         8,         7,  0.3600000E+04,  0.5010000E+00
         8,         7,  0.3610000E+04,  0.5010000E+00
         8,         7,  0.3620000E+04,  0.5010000E+00
         8,         7,  0.3630000E+04,  0.5010000E+00
         8,         7,  0.3640000E+04,  0.5010000E+00
         8,         7,  0.3650000E+04,  0.5010000E+00
         8,         7,  0.3660000E+04,  0.5010000E+00
         8,         7,  0.3670000E+04,  0.5010000E+00
